2024-08-01,I-禣鮔,A-瞷,48,,め,
2024-08-14,E-繺都禣.,A-瞷,179,,,
2024-08-14,E-稯到蹿,A-瞷.穦膀,500,,,
2024-08-15,E-繺都禣.,A-瞷,100,,,
2024-08-15,E-狝杆禣,A-瞷,430,,ぱ︾瑍﹁杆爱瑍,
2024-08-15,E-稯到蹿,A-瞷.穦膀,300,,,
2024-08-15,E-繺都禣.籈繺,A-瞷,330,,,
2024-08-16,E-繺都禣.,A-瞷,100,,,
2024-08-16,E-繺都禣.,A-瞷,110,,,
2024-08-17,E-稯到蹿,A-瞷.穦膀,300,,,
2024-08-17,E-繺都禣.,A-瞷,100,,,
2024-08-19,E-稯到蹿,A-瞷.穦膀,997,,Givewell ,
2024-08-19,E-繺都禣.,A-瞷,120,,,
2024-08-19,E-繺都禣.,A-瞷,54,,,
2024-08-19,E-繺都禣.,A-瞷,100,,,
2024-08-20,E-稯到蹿,A-瞷.穦膀,300,,,
2024-08-20,E-繺都禣.,A-瞷,216,,,
2024-08-20,E-繺都禣.,A-瞷,100,,,
2024-08-20,E-繺都禣.,A-瞷,115,,,
2024-08-21,E-繺都禣.,A-瞷,130,,,
2024-08-21,E-らノ珇,A-瞷,148,,,
